event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
90,144,cudaLaunchKernel,,cudaLaunchKernel,9622.063,9625.82,3.756999999999607,3.756999999999607,3.756999999999607,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,69,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
93,71,aten::as_strided,,aten::as_strided,9670.764,9676.464,5.700000000000728,5.700000000000728,5.700000000000728,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,70,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,77],[],[],[]]","[null,[1,77,77],[5929,77,1],null]",{},[],
95,73,aten::as_strided,,aten::as_strided,9688.066,9693.276,5.209999999999127,5.209999999999127,5.209999999999127,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,72,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,77],[],[],[]]","[null,[1,1,77,77],[5929,5929,77,1],null]",{},[],
97,75,aten::as_strided,,aten::as_strided,9713.764,9719.204,5.440000000000509,5.440000000000509,5.440000000000509,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,74,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,1,77,77],[],[],[]]","[null,[1,1,77,77],[5929,5929,77,1],null]",{},[],
100,78,aten::empty,,aten::empty,9805.415,9828.098,22.682999999999083,22.682999999999083,22.682999999999083,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,77,0,0,[],[],False,False,False,False,0,0,0,118272,118272,"[[],[],[],[],[],[]]","[[1,77,768],5,0,null,null,0]",{},[],
101,79,aten::empty,,aten::empty,9831.394,9839.359,7.9650000000001455,7.9650000000001455,7.9650000000001455,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,77,0,0,[],[],False,False,False,False,0,0,0,512,512,"[[],[],[],[],[],[]]","[[77],6,0,null,null,null]",{},[],
102,80,aten::empty,,aten::empty,9841.483,9848.366,6.882999999999811,6.882999999999811,6.882999999999811,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,77,0,0,[],[],False,False,False,False,0,0,0,512,512,"[[],[],[],[],[],[]]","[[77],6,0,null,null,null]",{},[],
103,177,cudaLaunchKernel,,cudaLaunchKernel,9851.642,9860.068,8.425999999999476,8.425999999999476,8.425999999999476,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,77,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
105,81,aten::view,,aten::view,9863.624,9868.904,5.280000000000655,5.280000000000655,5.280000000000655,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,77,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77],[]]","[null,[1,77,1]]",{},[],
106,82,aten::view,,aten::view,9871.329,9875.496,4.166999999999462,4.166999999999462,4.166999999999462,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,77,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77],[]]","[null,[1,77,1]]",{},[],
108,84,aten::view,,aten::view,9937.061,9943.002,5.941000000000713,5.941000000000713,5.941000000000713,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,83,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,768],[]]","[null,[77,768]]",{},[],
111,87,aten::as_strided,,aten::as_strided,9955.907,9974.191,18.28400000000147,18.28400000000147,18.28400000000147,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,86,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[768,768],[],[],[]]","[null,[768,768],[1,768],null]",{},[],
113,216,cudaDeviceGetAttribute,,cudaDeviceGetAttribute,10018.624,10018.994,0.37000000000080036,0.37000000000080036,0.37000000000080036,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,88,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
114,218,cudaMemsetAsync,,cudaMemsetAsync,10020.217,10020.497,0.27999999999883585,0.27999999999883585,0.27999999999883585,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,88,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
115,219,cuLaunchKernel,,cuLaunchKernel,10020.698,10027.47,6.771999999999025,6.771999999999025,6.771999999999025,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,88,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
117,89,aten::view,,aten::view,10039.894,10045.865,5.970999999999549,5.970999999999549,5.970999999999549,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,83,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[]]","[null,[1,77,768]]",{},[],
119,91,aten::view,,aten::view,10072.535,10078.065,5.530000000000655,5.530000000000655,5.530000000000655,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,90,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,768],[]]","[null,[77,768]]",{},[],
122,94,aten::as_strided,,aten::as_strided,10085.208,10089.967,4.7590000000000146,4.7590000000000146,4.7590000000000146,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,93,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[768,768],[],[],[]]","[null,[768,768],[1,768],null]",{},[],
124,257,cudaDeviceGetAttribute,,cudaDeviceGetAttribute,10129.16,10129.441,0.28100000000085856,0.28100000000085856,0.28100000000085856,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,95,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
125,259,cudaMemsetAsync,,cudaMemsetAsync,10130.242,10130.443,0.20099999999911233,0.20099999999911233,0.20099999999911233,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,95,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
126,260,cuLaunchKernel,,cuLaunchKernel,10130.593,10136.153,5.559999999999491,5.559999999999491,5.559999999999491,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,95,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
128,96,aten::view,,aten::view,10146.403,10151.111,4.708000000000538,4.708000000000538,4.708000000000538,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,90,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[]]","[null,[1,77,768]]",{},[],
130,98,aten::view,,aten::view,10174.014,10179.114,5.100000000000364,5.100000000000364,5.100000000000364,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,97,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,768],[]]","[null,[77,768]]",{},[],
133,101,aten::as_strided,,aten::as_strided,10185.886,10190.405,4.519000000000233,4.519000000000233,4.519000000000233,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,100,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[768,768],[],[],[]]","[null,[768,768],[1,768],null]",{},[],
135,298,cudaDeviceGetAttribute,,cudaDeviceGetAttribute,10229.628,10229.909,0.2809999999990396,0.2809999999990396,0.2809999999990396,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,102,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
136,300,cudaMemsetAsync,,cudaMemsetAsync,10230.7,10230.88,0.17999999999847205,0.17999999999847205,0.17999999999847205,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,102,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
137,301,cuLaunchKernel,,cuLaunchKernel,10231.021,10240.599,9.57799999999952,9.57799999999952,9.57799999999952,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,102,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
139,103,aten::view,,aten::view,10251.038,10256.088,5.049999999999272,5.049999999999272,5.049999999999272,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,97,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[]]","[null,[1,77,768]]",{},[],
140,104,aten::view,,aten::view,10268.0,10273.52,5.520000000000437,5.520000000000437,5.520000000000437,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,768],[]]","[null,[1,-1,12,64]]",{},[],
142,106,aten::as_strided,,aten::as_strided,10286.274,10291.945,5.6710000000002765,5.6710000000002765,5.6710000000002765,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,105,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,12,64],[],[],[]]","[null,[1,12,77,64],[59136,64,768,1],null]",{},[],
143,107,aten::view,,aten::view,10300.701,10305.299,4.598000000001775,4.598000000001775,4.598000000001775,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,768],[]]","[null,[1,-1,12,64]]",{},[],
145,109,aten::as_strided,,aten::as_strided,10311.361,10329.625,18.263999999999214,18.263999999999214,18.263999999999214,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,108,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,12,64],[],[],[]]","[null,[1,12,77,64],[59136,64,768,1],null]",{},[],
146,110,aten::view,,aten::view,10337.57,10342.088,4.518000000000029,4.518000000000029,4.518000000000029,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,768],[]]","[null,[1,-1,12,64]]",{},[],
148,112,aten::as_strided,,aten::as_strided,10348.43,10353.029,4.59900000000016,4.59900000000016,4.59900000000016,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,111,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77,12,64],[],[],[]]","[null,[1,12,77,64],[59136,64,768,1],null]",{},[],
